N;DELAY;THRESHOLD;BUF SIZE;KILLED DOCKER;REAL MPI KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT;D;WR
40;4;15;21572481;0;0;4.28;False;False;False;True;False;False
55;2;13;15792248;5;2;5.336;False;False;False;True;False;False
27;3;19;31579653;0;0;3.303;False;False;False;True;False;False
57;4;13;15253084;0;0;4.362;False;False;False;True;False;False
13;4;27;46545365;0;0;4.298;False;False;False;True;False;False
40;2;15;21577203;2;40;3.804;False;False;False;True;False;False
46;2;14;18828776;7;6;6.192;False;True;True;True;False;False
12;2;28;49118604;0;12;2.372;False;False;False;True;False;False
59;4;13;14745596;9;1;9.482;False;False;False;True;False;False
53;2;13;16376806;2;53;3.882;False;False;False;True;False;False
27;2;19;31576255;5;1;4.788;False;False;False;True;False;False
27;2;19;31575525;7;1;5.684;False;False;False;True;False;False
45;2;14;19236834;5;1;5.778;False;True;False;True;False;False
6;4;40;73684668;0;0;4.333;False;False;False;True;False;False
54;3;13;16077108;6;0;6.903;False;False;False;True;False;False
11;3;30;52009008;0;2;3.335;False;False;False;True;False;False
24;2;20;35367295;8;5;6.931;False;True;True;True;False;False
45;2;14;19229314;2;45;3.899;False;False;True;True;False;False
42;2;15;20586282;3;42;4.7;False;False;True;True;False;False
45;3;14;19238678;8;45;8.129;False;True;True;True;False;False
6;4;40;73673494;2;0;5.55;False;False;False;True;False;False
41;2;15;21079663;5;7;5.78;False;False;True;True;False;False
16;3;25;52027482;3;7;5.143;False;False;True;True;False;False
41;2;15;21051543;5;41;5.645;False;False;True;True;False;False
34;2;17;25269757;4;34;5.224;False;False;False;True;False;False
10;2;31;55250572;4;4;4.83;False;False;True;True;False;False
41;2;15;21054467;6;41;5.963;False;False;True;True;False;False
26;3;19;32755278;6;26;6.841;False;False;True;True;False;False
30;4;18;28532572;0;0;4.298;False;False;False;True;False;False
24;2;20;35376728;4;5;4.747;False;False;True;True;False;False
19;4;22;44203764;0;0;4.34;False;False;False;True;False;False
56;3;13;15539379;0;0;3.288;False;False;False;True;False;False
59;3;13;14764019;0;0;3.351;False;False;False;True;False;False
10;3;31;55267530;4;1;5.612;False;False;False;True;False;False
16;4;25;52024354;5;0;6.565;False;False;False;True;False;False
29;2;18;29480447;4;1;4.165;False;False;False;True;False;False
35;3;16;24571279;6;0;6.741;False;False;False;True;False;False
35;2;16;24564473;5;2;5.645;False;False;False;True;False;False
40;4;15;21580376;0;0;4.362;False;False;False;True;False;False
34;4;17;25261051;0;0;4.286;False;False;False;True;False;False
56;2;13;15539667;13;56;9.48;False;False;True;True;False;False
20;4;22;42122175;2;0;5.487;False;False;False;True;False;False
33;3;17;26021068;8;1;7.519;False;False;False;True;False;False
49;3;14;17703948;5;2;6.324;False;False;True;True;False;False
61;3;12;14261746;4;0;5.211;False;False;False;True;False;False
6;4;40;73669754;0;0;4.373;False;False;False;True;False;False
36;4;16;23892106;0;0;4.297;False;False;False;True;False;False
34;4;17;25288082;7;0;8.164;False;False;False;True;False;False
54;4;13;16101723;0;0;4.289;False;False;False;True;False;False
63;2;12;13839437;7;0;6.432;False;False;False;True;False;False
9;2;33;58939895;3;5;4.112;False;False;True;True;False;False
43;4;15;20101664;0;0;4.311;False;False;False;True;False;False
48;3;14;18057261;0;0;3.44;False;False;False;True;False;False
34;3;17;25288079;4;34;5.747;False;False;True;True;False;False
12;2;28;49141850;3;3;4.119;False;False;True;True;False;False
18;3;23;46552272;2;18;4.548;False;False;True;True;False;False
54;3;13;16092363;0;0;3.402;False;False;False;True;False;False
43;2;15;20115560;10;43;8.646;False;False;False;True;False;False
23;4;20;36865453;5;0;7.213;False;False;False;True;False;False
39;3;16;22101886;9;0;8.308;False;False;False;True;False;False
19;3;22;44231005;5;1;6.154;False;False;False;True;False;False
51;3;14;17027700;0;0;3.323;False;False;False;True;False;False
10;3;31;55256642;2;10;4.455;False;False;True;True;False;False
57;4;13;15262932;0;0;4.293;False;False;False;True;False;False
53;4;13;16392427;0;0;4.293;False;False;False;True;False;False
45;3;14;19221519;0;0;3.324;False;False;False;True;False;False
47;3;14;18420618;8;0;7.191;False;False;False;True;False;False
40;2;15;21589941;8;2;6.966;False;False;False;True;False;False
37;3;16;23291695;7;0;7.227;False;False;False;True;False;False
23;3;20;36845900;7;1;7.166;False;False;False;True;False;False
54;3;13;16097443;6;0;6.192;False;False;False;True;False;False
6;3;40;73681964;2;6;4.509;False;False;True;True;False;False
40;3;15;21584302;6;7;6.463;False;True;True;True;False;False
28;3;18;30490650;1;0;4.052;False;False;False;True;False;False
31;3;17;27629936;0;0;3.24;False;False;False;True;False;False
64;2;12;13607010;9;2;7.391;False;True;False;True;False;False
16;4;25;52024979;0;0;4.272;False;False;False;True;False;False
55;3;13;15804514;0;0;3.43;False;False;False;True;False;False
46;4;14;18821920;0;0;4.311;False;False;False;True;False;False
14;2;26;44227804;3;2;4.145;False;True;False;True;False;False
56;2;13;15527562;6;2;5.493;False;False;False;True;False;False
5;3;44;80389525;1;5;3.917;False;False;False;True;False;False
10;3;31;55261845;5;1;6.092;False;False;False;True;False;False
27;3;19;31595589;4;1;5.584;False;False;False;True;False;False
55;3;13;15810919;0;0;3.219;False;False;False;True;False;False
19;2;22;44229042;4;19;4.738;False;False;True;True;False;False
57;2;13;15256706;9;4;7.587;False;True;True;True;False;False
63;2;12;13812886;9;1;6.893;False;False;False;True;False;False
23;3;20;36853409;3;10;5.085;False;False;True;True;False;False
55;2;13;15794088;8;55;7.406;False;False;True;True;False;False
31;2;17;27640586;4;2;4.766;False;False;False;True;False;False
41;2;15;21048605;4;41;5.329;False;False;True;True;False;False
6;2;40;73671282;2;6;3.695;False;False;True;True;False;False
61;2;12;14266558;3;61;4.535;False;False;True;True;False;False
49;2;14;17680070;7;0;6.44;False;False;False;True;False;False
64;3;12;13627746;6;1;7.481;False;True;False;True;False;False
60;2;12;14517332;9;3;7.585;False;False;True;True;False;False
57;4;13;15261140;0;0;4.342;False;False;False;True;False;False
41;2;15;21060487;4;26;5.092;False;False;True;True;False;False
44;2;15;19659326;3;4;4.529;False;True;True;True;False;False
59;3;13;14764580;0;0;3.297;False;False;False;True;False;False
41;4;15;21052081;0;0;4.298;False;False;False;True;False;False
48;3;14;18065543;6;0;6.082;False;False;False;True;False;False
34;3;17;25266930;5;4;6.037;False;True;True;True;False;False
55;3;13;15816145;6;0;6.138;False;False;False;True;False;False
22;2;21;38467010;6;22;5.944;False;False;True;True;False;False
60;3;12;14513197;0;0;3.246;False;False;False;True;False;False
47;2;14;18434937;8;3;6.608;False;False;False;True;False;False
35;4;16;24580517;0;0;4.294;False;False;False;True;False;False
20;3;22;42101134;4;1;5.548;False;False;False;True;False;False
42;3;15;20582313;4;0;5.393;False;False;False;True;False;False
53;2;13;16393744;7;30;6.36;False;False;True;True;False;False
34;3;17;25258204;6;0;6.92;False;False;False;True;False;False
14;4;26;44206206;0;0;4.322;False;False;False;True;False;False
14;2;26;44232284;4;2;4.567;False;False;False;True;False;False
55;3;13;15813508;0;0;3.241;False;False;False;True;False;False
25;3;20;34014066;8;0;7.134;False;False;False;True;False;False
23;4;20;36855046;0;0;4.238;False;False;False;True;False;False
52;4;13;16706790;0;0;4.294;False;False;False;True;False;False
60;2;12;14522363;10;27;8.162;False;False;True;True;False;False
59;2;13;14758708;6;3;6.014;False;False;True;True;False;False
4;2;50;88423317;3;3;4.021;False;False;True;True;False;False
47;4;14;18445866;0;0;4.331;False;False;False;True;False;False
14;3;26;44206139;0;0;3.242;False;False;False;True;False;False
30;2;18;28537216;8;4;6.356;False;True;True;True;False;False
31;2;17;27648151;5;31;5.182;False;True;True;True;False;False
33;2;17;26032108;8;33;6.899;False;False;True;True;False;False
17;3;24;49142468;4;17;5.663;False;False;True;True;False;False
50;3;14;17347709;6;0;6.189;False;False;False;True;False;False
58;4;13;14995713;0;0;4.297;False;False;False;True;False;False
58;3;13;15005940;1;0;4.084;False;False;False;True;False;False
52;4;13;16707666;0;0;4.292;False;False;False;True;False;False
43;3;15;20102375;0;0;3.484;False;False;False;True;False;False
60;3;12;14522095;0;0;3.235;False;False;False;True;False;False
57;2;13;15258617;9;57;7.982;False;False;False;True;False;False
46;4;14;18834542;5;3;7.439;False;False;True;True;False;False
15;4;25;42099103;10;0;10.507;False;False;False;True;False;False
48;2;14;18041116;6;2;5.942;False;False;False;True;False;False
7;3;37;68010513;3;1;5.063;False;False;False;True;False;False
57;2;13;15245542;2;31;3.909;False;False;True;True;False;False
25;4;20;34005222;0;0;4.291;False;False;False;True;False;False
63;4;12;13831571;0;0;4.291;False;False;False;True;False;False
33;3;17;26026493;7;33;7.881;False;False;False;True;False;False
44;2;15;19649776;6;44;5.982;False;True;True;True;False;False
55;4;13;15794721;9;0;9.437;False;False;False;True;False;False
14;4;26;44223339;7;0;7.63;False;False;False;True;False;False
5;3;44;80363691;2;5;4.501;False;False;True;True;False;False
47;4;14;18443187;0;0;4.285;False;False;False;True;False;False
27;2;19;31586918;2;27;3.558;False;False;False;True;False;False
15;4;25;42101242;7;0;8.235;False;False;False;True;False;False
31;4;17;27639937;0;0;4.293;False;False;False;True;False;False
26;2;19;32752795;7;26;6.267;False;True;True;True;False;False
46;2;14;18813160;6;46;5.873;False;False;True;True;False;False
53;4;13;16383416;0;0;4.291;False;False;False;True;False;False
39;4;16;22130961;0;0;4.285;False;False;False;True;False;False
57;3;13;15265577;0;0;3.39;False;False;False;True;False;False
33;4;17;26008613;10;3;9.742;False;False;True;True;False;False
54;3;13;16090439;0;0;3.394;False;False;False;True;False;False
34;3;17;25274924;3;0;5.388;False;False;False;True;False;False
7;3;37;68018093;3;6;5.03;False;False;True;True;False;False
22;4;21;38458355;0;0;4.281;False;False;False;True;False;False
32;2;17;26800725;7;3;6.44;False;False;True;True;False;False
21;2;21;40193525;4;2;4.276;False;False;False;True;False;False
38;4;16;22673498;0;0;4.234;False;False;False;True;False;False
17;4;24;49117268;2;0;5.463;False;False;False;True;False;False
59;3;13;14759285;0;0;3.241;False;False;False;True;False;False
6;2;40;73697381;1;6;2.957;False;False;False;True;False;False
17;4;24;49116774;4;0;5.99;False;False;False;True;False;False
40;2;15;21588088;4;2;4.982;False;False;False;True;False;False
45;2;14;19243450;12;3;9.304;False;False;True;True;False;False
13;2;27;46546302;4;2;4.661;False;False;False;True;False;False
44;4;15;19662303;0;0;4.289;False;False;False;True;False;False
6;3;40;73679198;2;2;4.447;False;False;True;True;False;False
36;3;16;23919023;6;36;7.226;False;False;False;True;False;False
36;3;16;23909146;4;1;5.4;False;False;False;True;False;False
12;2;28;49119244;4;12;4.7;False;True;True;True;False;False
62;4;12;14064472;0;0;4.308;False;False;False;True;False;False
51;2;14;17030511;8;28;7.148;False;False;True;True;False;False
18;4;23;46546378;3;0;5.4;False;False;False;True;False;False
24;2;20;35386226;9;15;7.366;False;False;True;True;False;False
38;3;16;22677574;4;2;6.114;False;False;False;True;False;False
62;4;12;14057554;0;0;4.319;False;False;False;True;False;False
37;4;16;23292699;0;0;4.304;False;False;False;True;False;False
28;4;18;30505759;0;0;4.288;False;False;False;True;False;False
33;4;17;26016159;8;1;8.682;False;False;False;True;False;False
21;4;21;40207580;0;0;4.223;False;False;False;True;False;False
64;2;12;13630869;5;5;5.951;False;False;True;True;False;False
53;4;13;16380423;0;0;4.239;False;False;False;True;False;False
27;3;19;31598497;0;0;3.236;False;False;False;True;False;False
44;4;15;19671289;0;0;4.277;False;False;False;True;False;False
53;3;13;16371596;4;0;5.683;False;False;False;True;False;False
20;3;22;42111181;2;20;4.602;False;False;True;True;False;False
38;3;16;22691928;7;0;7.197;False;False;False;True;False;False
49;2;14;17680101;9;31;7.56;False;False;True;True;False;False
50;3;14;17350601;0;0;3.238;False;False;False;True;False;False
21;2;21;40198996;8;7;6.972;False;False;True;True;False;False
15;2;25;42104593;2;2;3.548;False;False;False;True;False;False
47;2;14;18425995;6;4;5.659;False;True;True;True;False;False
33;2;17;26025895;11;3;8.67;False;False;False;True;False;False
49;3;14;17688448;7;0;7.269;False;False;False;True;False;False
58;4;13;15014419;0;0;4.383;False;False;False;True;False;False
32;2;17;26791385;8;3;6.578;False;False;True;True;False;False
41;2;15;21079911;2;7;3.723;False;False;True;True;False;False
29;3;18;29481853;0;0;3.241;False;False;False;True;False;False
49;3;14;17687764;0;0;3.354;False;False;False;True;False;False
44;4;15;19655274;0;0;4.294;False;False;False;True;False;False
37;2;16;23285341;5;3;5.609;False;False;True;True;False;False
