N;DELAY;THRESHOLD;BUF SIZE;KILLED DOCKER;REAL MPI KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT
22;4;21;38459815;7;1;8.162;False;False;False;True
51;3;14;17018387;7;0;7.095;False;False;False;True
13;3;27;46549729;2;3;5.785;False;False;True;True
8;2;35;63171305;2;8;3.431;False;False;True;True
19;3;22;44224824;1;1;6.087;False;False;False;True
41;4;15;21048668;6;0;6.967;False;False;False;True
21;3;21;40191795;5;5;5.712;False;False;True;True
27;3;19;31572493;6;2;6.712;False;False;False;True
59;2;13;14757031;5;59;4.677;False;True;True;True
52;3;13;16689663;7;0;7.135;False;False;False;True
5;4;44;80385666;3;5;6.042;False;False;True;True
15;3;25;42099614;5;2;5.628;False;False;False;True
35;3;16;24577598;4;35;31.199;True;False;True;True
10;4;31;55279996;0;0;5.698;False;False;False;True
60;4;12;14497970;0;0;4.23;False;False;False;True
13;2;27;46558274;7;13;5.528;False;False;True;True
47;2;14;18422188;10;47;31.213;True;False;False;True
32;3;17;26805334;6;2;6.764;False;False;False;True
7;3;37;68030354;1;7;3.833;False;False;True;True
51;3;14;17031746;5;0;6.083;False;False;False;True
49;2;14;17709804;6;49;5.701;False;True;True;True
30;2;18;28544877;1;30;30.284;True;False;False;True
13;3;27;46527214;3;13;30.29;True;False;False;True
62;3;12;14035487;0;0;3.188;False;False;False;True
40;2;15;21568113;2;40;31.204;True;False;False;True
23;2;20;36854642;7;23;30.272;True;False;False;True
11;4;30;52018439;2;3;5.975;False;False;True;True
25;4;20;34026446;5;1;7.044;False;False;False;True
22;4;21;38446574;2;8;5.673;False;False;True;True
60;3;12;14498929;0;0;3.442;False;False;False;True
12;4;28;49124203;2;4;5.843;False;False;True;True
4;4;50;88419038;0;0;7.099;False;False;False;True
51;3;14;17025445;8;0;7.727;False;False;False;True
29;4;18;29472944;0;0;4.22;False;False;False;True
12;4;28;49127330;4;7;6.565;False;False;True;True
47;3;14;18424082;7;0;7.167;False;False;False;True
64;3;12;13613981;0;0;3.447;False;False;False;True
41;4;15;21052984;0;0;4.217;False;False;False;True
35;4;16;24573685;5;1;7.056;False;False;False;True
57;2;13;15249041;6;2;5.778;False;False;False;True
9;2;33;58935741;4;9;4.552;False;False;True;True
39;4;16;22116922;3;0;5.955;False;False;False;True
44;3;15;19659509;7;1;7.145;False;False;False;True
13;4;27;46528490;5;1;7.083;False;False;False;True
64;2;12;13611347;4;1;31.244;True;True;False;True
46;3;14;18808860;6;0;6.625;False;False;False;True
36;3;16;23894756;8;36;31.195;True;False;False;True
31;4;17;27653591;3;0;5.969;False;False;False;True
39;4;16;22106112;3;0;5.402;False;False;False;True
14;3;26;44216915;4;6;5.137;False;False;True;True
50;2;14;17352260;7;21;6.304;False;False;True;True
38;3;16;22685618;4;4;5.735;False;False;True;True
58;3;13;14997948;4;0;4.923;False;False;False;True
8;2;35;63156716;5;8;5.028;False;False;True;True
6;3;40;73679731;3;6;5.076;False;False;True;True
29;2;18;29484147;4;29;30.259;True;False;True;True
35;4;16;24557035;5;1;7.124;False;False;False;True
25;2;20;34028087;4;25;4.714;False;False;True;True
63;2;12;13822887;8;59;6.741;False;False;True;True
38;4;16;22676142;6;1;7.635;False;False;False;True
36;3;16;23897380;1;1;5.182;False;False;False;True
43;4;15;20121780;0;0;4.17;False;False;False;True
56;4;13;15530924;0;0;4.262;False;False;False;True
38;3;16;22684841;3;2;31.206;True;True;False;True
22;3;21;38452777;7;22;7.203;False;False;True;True
64;3;12;13611604;0;0;3.409;False;False;False;True
58;2;13;15000294;7;2;6.282;False;False;False;True
45;3;14;19244300;5;0;6.065;False;False;False;True
9;3;33;58952939;2;9;4.384;False;False;True;True
62;3;12;14056894;0;0;3.304;False;False;False;True
37;2;16;23270405;4;7;4.821;False;True;True;True
21;3;21;40187578;3;9;5.273;False;False;True;True
30;2;18;28520524;6;30;5.679;False;False;True;True
58;2;13;14985525;7;58;6.246;False;True;True;True
7;4;37;68003985;4;4;6.648;False;False;True;True
27;2;19;31573166;4;7;4.799;False;True;True;True
12;2;28;49112568;2;12;3.444;False;False;True;True
33;3;17;26030123;7;14;7.384;False;False;True;True
37;4;16;23291148;7;1;8.128;False;False;False;True
27;2;19;31573232;4;6;4.718;False;True;True;True
11;3;30;52008805;4;11;5.487;False;False;True;True
50;2;14;17337046;5;26;5.279;False;False;True;True
63;4;12;13829029;0;0;4.258;False;False;False;True
37;2;16;23275292;7;6;6.382;False;True;True;True
42;2;15;20584442;8;42;31.211;True;False;False;True
45;3;14;19227243;4;0;5.578;False;False;False;True
36;4;16;23915868;1;1;4.926;False;False;False;True
48;3;14;18057294;6;0;6.065;False;False;False;True
8;3;35;63153404;4;8;5.57;False;False;True;True
53;4;13;16384807;0;0;4.224;False;False;False;True
41;3;15;21049864;5;8;6.205;False;False;True;True
63;3;12;13844992;0;0;3.263;False;False;False;True
6;3;40;73691981;1;1;7.294;False;False;False;True
47;3;14;18446520;4;0;5.54;False;False;False;True
14;2;26;44214809;3;14;4.011;False;False;True;True
18;3;23;46527461;7;6;6.908;False;False;True;True
43;2;15;20119684;13;3;9.541;False;False;True;True
10;2;31;55259582;1;10;3.599;False;False;True;True
38;2;16;22697018;6;11;5.889;False;False;True;True
54;4;13;16074729;0;0;4.221;False;False;False;True
29;4;18;29484563;4;29;6.458;False;False;True;True
26;4;19;32772509;6;0;7.55;False;False;False;True
62;3;12;14047563;0;0;3.29;False;False;False;True
54;4;13;16080747;0;0;4.227;False;False;False;True
17;4;24;49124030;4;5;7.217;False;True;False;True
35;2;16;24587162;4;35;30.254;True;False;True;True
19;3;22;44206294;1;19;30.287;True;False;False;True
34;2;17;25258175;6;34;31.199;True;False;False;True
61;2;12;14276360;7;61;5.809;False;True;True;True
18;4;23;46550865;2;18;5.475;False;False;True;True
50;4;14;17333830;0;0;4.221;False;False;False;True
35;2;16;24569739;7;6;6.501;False;False;True;True
6;3;40;73675714;2;2;6.013;False;False;False;True
33;4;17;26031922;2;1;5.439;False;False;False;True
17;2;24;49124507;5;17;5.054;False;False;True;True
21;2;21;40188642;4;21;4.461;False;False;True;True
55;4;13;15800694;0;0;4.218;False;False;False;True
31;4;17;27629428;0;0;4.224;False;False;False;True
16;4;25;52016312;4;3;30.234;True;True;False;True
32;4;17;26794139;0;0;4.192;False;False;False;True
18;4;23;46554424;2;4;30.243;True;True;True;True
43;3;15;20095883;4;1;5.591;False;False;False;True
40;2;15;21588304;4;6;4.854;False;False;True;True
5;3;44;80370870;0;0;7.446;False;False;False;True
61;2;12;14258462;8;2;31.235;True;True;False;True
45;2;14;19243247;5;45;31.209;True;False;False;True
63;3;12;13814508;0;0;3.272;False;False;False;True
33;3;17;26013511;7;33;7.183;False;False;True;True
45;3;14;19241386;8;1;7.729;False;False;False;True
8;2;35;63150588;3;8;3.937;False;False;True;True
46;2;14;18821240;6;46;5.836;False;True;True;True
56;3;13;15516689;4;0;4.931;False;False;False;True
28;4;18;30489292;4;0;6.482;False;False;False;True
46;4;14;18840087;0;0;4.217;False;False;False;True
33;3;17;26032058;7;3;7.31;False;False;False;True
40;2;15;21563706;7;40;31.202;True;False;False;True
19;2;22;44213742;3;19;3.93;False;False;True;True
47;4;14;18433878;0;0;4.16;False;False;False;True
48;4;14;18065809;0;0;4.213;False;False;False;True
62;3;12;14048859;0;0;3.337;False;False;False;True
53;3;13;16387434;3;0;4.981;False;False;False;True
39;4;16;22119663;5;0;7.066;False;False;False;True
23;3;20;36851295;8;3;7.243;False;False;False;True
38;3;16;22678585;5;4;31.204;True;True;True;True
23;3;20;36851627;3;4;5.328;False;False;True;True
42;2;15;20582472;6;4;5.842;False;False;True;True
56;4;13;15521321;0;0;4.23;False;False;False;True
12;4;28;49116702;2;2;6.008;False;False;False;True
61;2;12;14278435;10;61;7.883;False;True;True;True
28;2;18;30509198;2;28;31.31;True;False;False;True
23;2;20;36834765;5;23;5.034;False;False;True;True
17;2;24;49135829;4;17;4.502;False;False;True;True
53;3;13;16402189;6;0;6.646;False;False;False;True
7;4;37;68010962;1;1;6.176;False;False;False;True
22;3;21;38451826;3;3;5.288;False;False;False;True
57;3;13;15253153;0;0;3.354;False;False;False;True
61;4;12;14275515;0;0;4.222;False;False;False;True
63;2;12;13841613;6;1;5.759;False;False;False;True
43;4;15;20101439;0;0;4.193;False;False;False;True
55;4;13;15813590;0;0;4.225;False;False;False;True
44;3;15;19661161;5;1;6.155;False;False;False;True
46;3;14;18827835;8;1;7.697;False;False;False;True
26;3;19;32750435;4;4;5.664;False;False;True;True
59;2;13;14745820;9;59;7.31;False;False;True;True
5;4;44;80366405;2;5;5.448;False;False;True;True
38;2;16;22686565;7;6;6.409;False;False;True;True
64;3;12;13603382;0;0;3.394;False;False;False;True
9;2;33;58938559;3;9;3.986;False;False;True;True
10;3;31;55278628;2;10;4.363;False;False;True;True
49;4;14;17685264;0;0;4.22;False;False;False;True
42;3;15;20572762;4;1;5.653;False;False;False;True
40;3;15;21567646;9;1;8.308;False;False;False;True
45;3;14;19249876;8;1;7.663;False;False;False;True
55;3;13;15802516;7;0;6.705;False;False;False;True
58;2;13;14988276;6;2;31.225;True;True;False;True
12;4;28;49113416;4;12;6.5;False;False;True;True
36;4;16;23917829;3;1;6.032;False;False;False;True
64;2;12;13611428;11;64;8.628;False;False;True;True
28;4;18;30488384;0;0;4.162;False;False;False;True
29;2;18;29475214;3;6;4.261;False;True;True;True
31;4;17;27646429;0;0;4.253;False;False;False;True
49;2;14;17681271;5;49;31.23;True;False;False;True
61;2;12;14280917;12;34;8.881;False;False;True;True
53;3;13;16372875;4;1;5.574;False;False;False;True
16;4;25;52025632;3;16;6.08;False;False;True;True
42;3;15;20566919;6;8;6.62;False;False;True;True
25;4;20;34024604;4;1;6.048;False;False;False;True
60;3;12;14521854;0;0;3.263;False;False;False;True
50;2;14;17349498;5;5;5.298;False;True;True;True
52;4;13;16681240;0;0;4.217;False;False;False;True
60;2;12;14496244;4;60;4.628;False;False;True;True
51;3;14;17006786;6;0;6.611;False;False;False;True
43;2;15;20105904;5;3;5.306;False;False;False;True
27;2;19;31591247;8;27;6.829;False;False;True;True
33;2;17;26001804;2;33;31.2;True;False;True;True
6;3;40;73698593;2;6;4.425;False;False;True;True
48;3;14;18064536;2;0;4.487;False;False;False;True
40;2;15;21570651;6;15;5.904;False;False;True;True
48;4;14;18054551;0;0;4.216;False;False;False;True
42;2;15;20589696;8;5;6.88;False;False;True;True
14;2;26;44218622;1;1;5.13;False;False;False;True
51;2;14;17016417;5;2;5.306;False;False;False;True
23;4;20;36860841;1;1;4.897;False;False;False;True
15;2;25;42127329;1;1;4.558;False;False;False;True
