N;DELAY;THRESHOLD;BUF SIZE;KILLED DOCKER;REAL MPI KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT
28;5;18;30496818;0;0;5.192;False;False;False;True
50;2;14;17343644;11;50;3.061;False;False;True;True
56;4;13;15513263;9;56;5.142;False;False;True;True
31;4;17;27630686;7;0;4.842;False;False;False;True
25;5;20;34024865;7;2;5.999;False;False;False;True
17;3;24;49116975;5;17;4.323;False;False;True;True
5;3;44;80376844;2;5;4.573;False;False;True;True
40;3;15;21592186;4;40;4.242;False;False;True;True
34;4;17;25289484;6;34;31.222;True;False;True;True
29;3;18;29472482;4;29;3.92;False;False;True;True
