N;DELAY;BUF_SIZE;TIMEOUT;TIME;DEADLOCK;DEADLOCK DETECTION;SEGFAULT;ABORT;RIGHT RESULT;KILLED
24;2;56904960;30;4.0;False;False;False;False;True;1
12;3;66016896;30;4.23;False;False;False;False;True;1
16;3;74597376;30;3.67;False;False;False;False;True;0
13;3;73271168;30;4.28;False;False;False;False;True;1
13;3;57717632;30;3.29;False;False;False;False;True;0
19;2;56406912;30;3.43;False;False;False;False;True;0
6;3;65014784;30;3.51;False;False;False;False;True;0
4;2;52893056;30;2.36;False;False;False;False;True;0
30;3;65049344;30;4.52;False;False;False;True;True;2
10;2;52910976;30;3.0;False;False;False;False;True;0
12;3;50319232;30;3.17;False;False;False;False;True;0
19;2;70716416;30;4.24;False;False;False;False;True;1
23;2;64160512;30;4.39;False;False;False;False;True;1
21;2;78132736;30;3.32;False;False;False;True;True;21
13;3;73911040;30;4.23;False;False;False;False;True;1
20;3;56217472;30;3.91;False;False;False;False;True;0
22;3;53177856;30;3.74;False;False;False;False;True;0
11;2;65328256;30;3.97;False;False;False;False;True;1
9;2;63309696;30;3.8;False;False;False;False;True;1
17;2;58244352;30;3.78;False;False;False;False;True;1
24;3;67448064;30;4.17;False;False;False;False;True;1
16;2;55500160;30;3.0;False;False;False;False;True;0
15;2;65921664;30;4.11;False;False;False;False;True;1
24;3;63453824;30;4.19;False;False;False;False;True;0
22;3;70585344;30;4.42;False;False;False;False;True;1
7;2;76490752;30;3.08;False;False;False;True;True;7
17;3;55041408;30;3.31;False;False;False;False;True;0
7;2;70243456;30;3.68;False;False;False;True;True;2
8;3;54681600;30;2.42;False;False;False;False;True;0
13;3;79596032;30;4.48;False;False;False;False;True;1
7;3;50532480;30;2.7;False;False;False;False;True;0
16;3;75738880;30;3.49;False;False;False;False;True;0
25;2;55485824;30;3.56;False;False;False;False;True;1
14;2;66936832;30;3.15;False;False;False;True;True;14
10;3;77119872;30;4.18;False;False;False;False;True;0
15;2;76702848;30;3.12;False;False;False;True;True;15
17;3;66993920;30;4.11;False;False;False;False;True;0
25;3;69953920;30;4.5;False;False;False;True;True;2
24;2;79121664;30;3.57;False;False;False;True;True;24
13;2;64481024;30;4.17;False;False;False;False;True;1
20;2;71681536;30;4.64;False;False;False;False;True;1
23;3;52377088;30;3.66;False;False;False;False;True;0
24;3;55296384;30;3.98;False;False;False;False;True;0
24;3;72251136;30;4.54;False;False;False;False;True;1
28;2;57730816;30;4.15;False;False;False;False;True;1
28;3;65304320;30;4.23;False;False;False;False;True;0
16;3;58134784;30;3.07;False;False;False;False;True;0
13;3;51419008;30;3.02;False;False;False;False;True;0
15;2;53574528;30;3.21;False;False;False;False;True;0
22;3;64569216;30;4.16;False;False;False;False;True;1
23;2;75846144;30;3.18;False;False;False;True;True;23
29;3;75842560;30;5.26;False;False;False;False;True;1
9;2;75700736;30;4.17;False;False;False;False;True;1
29;2;63906688;30;4.57;False;False;False;False;True;1
21;3;50468224;30;3.26;False;False;False;False;True;0
25;2;65148288;30;3.39;False;False;False;True;True;25
9;3;74634368;30;4.15;False;False;False;False;True;0
22;3;79349248;30;4.82;False;False;False;True;True;2
24;3;74536576;30;4.66;False;False;False;False;True;1
5;3;71477888;30;4.14;False;False;False;False;True;0
22;2;71361024;30;4.61;False;False;False;False;True;1
29;3;70528256;30;4.8;False;False;False;True;True;2
23;3;53656832;30;3.2;False;False;False;False;True;0
23;2;53643776;30;3.11;False;False;False;True;True;23
5;2;53678336;30;2.83;False;False;False;False;True;0
30;3;62732928;30;4.83;False;False;False;True;True;2
26;3;76211968;30;4.85;False;False;False;True;True;2
22;3;57910656;30;3.79;False;False;False;False;True;0
16;2;78416256;30;3.58;False;False;False;True;True;16
29;3;64386816;30;4.32;False;False;False;False;True;0
4;3;57700992;30;2.63;False;False;False;False;True;0
20;2;53284992;30;3.64;False;False;False;False;True;1
5;2;74318592;30;3.92;False;False;False;False;True;1
6;3;55949312;30;3.17;False;False;False;False;True;0
4;2;70517504;30;2.65;False;False;False;False;True;0
15;2;65529600;30;3.09;False;False;False;True;True;15
20;2;73022080;30;4.91;False;False;False;False;True;1
22;2;65773824;30;4.33;False;False;False;False;True;1
24;3;72833792;30;4.53;False;False;False;False;True;1
31;2;63369344;30;4.56;False;False;False;False;True;1
9;3;59487104;30;3.32;False;False;False;False;True;0
23;3;61546112;30;4.16;False;False;False;False;True;0
31;3;73794176;30;4.78;False;False;False;True;True;2
26;2;51172480;30;3.3;False;False;False;False;True;1
16;3;52969216;30;2.96;False;False;False;False;True;0
13;3;68577664;30;4.07;False;False;False;False;True;0
16;2;57876096;30;3.19;False;False;False;True;True;16
26;3;55908864;30;3.84;False;False;False;False;True;0
12;3;64258176;30;4.04;False;False;False;False;True;0
16;2;66803328;30;3.14;False;False;False;False;True;1
31;3;57958400;30;4.21;False;False;False;False;True;0
9;3;70699776;30;4.04;False;False;False;False;True;0
8;3;50506368;30;2.25;False;False;False;False;True;0
21;3;71573248;30;4.18;False;False;False;False;True;0
22;3;61080320;30;3.77;False;False;False;False;True;0
5;3;65693952;30;3.8;False;False;False;False;True;0
6;2;73314048;30;3.31;False;False;False;True;True;6
16;2;52325888;30;3.0;False;False;False;False;True;0
11;3;65262592;30;3.68;False;False;False;False;True;0
22;2;51743104;30;3.31;False;False;False;False;True;0
32;3;79799680;30;4.39;False;False;False;False;True;1
29;3;59133312;30;4.09;False;False;False;False;True;0
24;2;66942720;30;4.72;False;False;False;False;True;1
30;2;61641472;30;4.54;False;False;False;False;True;1
8;2;53112320;30;2.37;False;False;False;False;True;0
15;2;67762560;30;3.96;False;False;False;False;True;1
23;3;58203776;30;3.51;False;False;False;False;True;0
32;3;52111360;30;3.13;False;False;False;False;True;0
17;2;72165376;30;3.15;False;False;False;True;True;17
4;3;79687808;30;3.0;False;False;False;False;True;0
16;3;50557568;30;2.75;False;False;False;False;True;0
26;3;72808832;30;4.45;False;False;False;False;True;0
25;2;71585024;30;3.21;False;False;False;True;True;25
9;2;63060608;30;3.16;False;False;False;True;True;2
27;2;57863040;30;3.75;False;False;False;False;True;1
6;2;54393216;30;3.19;False;False;False;False;True;0
29;2;56403328;30;3.82;False;False;False;False;True;1
30;2;72820736;30;3.7;False;False;False;True;True;30
20;2;56437888;30;3.61;False;False;False;False;True;1
24;3;57303040;30;4.37;False;False;False;False;True;0
6;3;54451584;30;2.87;False;False;False;False;True;0
15;3;70674688;30;4.13;False;False;False;False;True;0
12;3;56503424;30;3.19;False;False;False;False;True;0
8;2;75487488;30;3.23;False;False;False;True;True;8
4;3;78325760;30;2.97;False;False;False;False;True;0
8;2;60327168;30;2.89;False;False;False;False;True;0
18;3;72347776;30;4.61;False;False;False;False;True;1
19;3;63454976;30;3.84;False;False;False;False;True;0
23;3;60673920;30;3.91;False;False;False;False;True;0
26;3;65041024;30;4.38;False;False;False;True;True;2
17;2;54972288;30;3.81;False;False;False;False;True;1
23;3;72294016;30;4.35;False;False;False;False;True;0
11;2;61245824;30;4.38;False;False;False;False;True;1
14;3;64651392;30;4.24;False;False;False;False;True;1
12;2;69503488;30;3.14;False;False;False;True;True;12
20;2;62887936;30;4.21;False;False;False;False;True;1
11;2;65759488;30;4.31;False;False;False;False;True;1
19;2;51519104;30;3.23;False;False;False;False;True;1
32;3;72401280;30;4.16;False;False;False;False;True;0
14;2;73633408;30;3.34;False;False;False;True;True;14
31;3;60504704;30;4.22;False;False;False;False;True;0
14;3;72630016;30;4.16;False;False;False;False;True;1
20;2;77719296;30;3.45;False;False;False;True;True;20
10;3;68496640;30;4.22;False;False;False;False;True;0
9;3;50664832;30;3.13;False;False;False;False;True;0
11;3;50916224;30;3.38;False;False;False;False;True;0
23;3;62641152;30;4.08;False;False;False;False;True;0
12;2;60000640;30;3.55;False;False;False;True;True;2
28;3;76099968;30;4.7;False;False;False;True;True;2
6;3;75317120;30;4.48;False;False;False;False;True;0
30;3;76908928;30;5.66;False;False;False;False;True;1
29;3;54807808;30;3.94;False;False;False;False;True;0
20;3;76712448;30;4.43;False;False;False;False;True;0
27;3;79739008;30;4.92;False;False;False;True;True;2
19;2;52981248;30;3.58;False;False;False;False;True;1
19;3;68933888;30;4.14;False;False;False;False;True;0
11;3;52809600;30;3.11;False;False;False;False;True;0
30;2;63793408;30;4.28;False;False;False;False;True;1
6;3;79102720;30;4.3;False;False;False;False;True;1
31;2;73775232;30;3.65;False;False;False;True;True;31
22;3;76833920;30;4.9;False;False;False;False;True;1
15;2;63876864;30;3.95;False;False;False;False;True;1
24;2;67714944;30;5.12;False;False;False;False;True;1
21;3;64819328;30;4.21;False;False;False;False;True;1
31;3;58465920;30;4.35;False;False;False;False;True;1
18;3;76917376;30;4.49;False;False;False;False;True;0
23;2;79690112;30;3.25;False;False;False;True;True;23
16;2;75467136;30;3.49;False;False;False;False;True;1
6;2;69507072;30;4.14;False;False;False;False;True;1
8;2;70072960;30;3.2;False;False;False;False;True;1
18;3;54346752;30;3.64;False;False;False;False;True;0
6;3;61063552;30;3.69;False;False;False;False;True;0
7;2;60166400;30;3.55;False;False;False;False;True;1
25;3;51396480;30;3.44;False;False;False;False;True;0
15;3;73542912;30;4.1;False;False;False;False;True;0
12;3;74615296;30;4.33;False;False;False;False;True;1
23;2;68559744;30;3.27;False;False;False;True;True;23
16;2;63710080;30;3.1;False;False;False;False;True;1
12;2;75439872;30;4.16;False;False;False;False;True;1
13;2;58518400;30;3.23;False;False;False;False;True;0
8;2;56425984;30;2.66;False;False;False;False;True;0
29;3;67291904;30;4.58;False;False;False;True;True;2
4;3;58143104;30;2.42;False;False;False;False;True;0
4;3;65205504;30;2.94;False;False;False;False;True;0
20;3;78783360;30;5.65;False;False;False;False;True;1
22;3;56230528;30;4.0;False;False;False;False;True;0
18;3;77342720;30;4.28;False;False;False;False;True;1
29;2;54249088;30;3.63;False;False;False;True;True;2
16;2;55752704;30;2.67;False;False;False;False;True;0
24;3;78604672;30;4.85;False;False;False;False;True;1
6;3;68134272;30;3.57;False;False;False;False;True;0
4;3;52085120;30;2.12;False;False;False;False;True;0
21;2;51890944;30;3.81;False;False;False;False;True;1
25;3;68249856;30;30.22;True;False;False;False;True;1
9;3;68820608;30;4.02;False;False;False;False;True;0
23;3;79221760;30;4.51;False;False;False;False;True;1
14;2;58820992;30;3.26;False;False;False;True;True;2
28;2;54729216;30;3.83;False;False;False;False;True;1
18;3;50420480;30;3.2;False;False;False;False;True;0
21;2;53622272;30;3.48;False;False;False;True;True;2
16;3;55950592;30;2.89;False;False;False;False;True;0
12;3;62915328;30;3.66;False;False;False;False;True;0
20;3;61328128;30;3.89;False;False;False;False;True;0
22;3;76868480;30;4.54;False;False;False;True;True;2
