N;DELAY;BUF_SIZE;TIMEOUT;TIME;DEADLOCK;DEADLOCK DETECTION;SEGFAULT;ABORT;RIGHT RESULT;KILLED;WHERE
31;4;75452928;30;6.99;False;False;False;True;True;31;REDUCE-SCATTER
11;4;76791040;30;5.14;False;False;False;False;True;0;UNKNOWN
22;4;66836736;30;6.96;False;False;False;False;True;1;ALLGATHER
5;2;75836544;30;3.64;False;False;False;True;True;5;REDUCE-SCATTER
22;3;58346880;30;6.77;False;False;False;False;True;1;REDUCE-SCATTER
25;2;75355136;30;3.88;False;False;False;True;True;25;UNKNOWN
15;2;77307008;30;4.1;False;False;False;True;True;15;REDUCE-SCATTER
6;4;72338176;30;4.47;False;False;False;False;True;0;UNKNOWN
17;4;55464448;30;4.84;False;False;False;False;True;0;UNKNOWN
7;3;74635520;30;4.32;False;False;False;False;True;1;UNKNOWN
10;4;78928640;30;5.57;False;False;False;False;True;1;UNKNOWN
19;3;55526400;30;5.56;False;False;False;False;True;1;ALLGATHER
18;3;60521344;30;5.85;False;False;False;False;True;1;ALLGATHER
26;3;59684992;30;4.71;False;False;False;True;True;26;REDUCE-SCATTER
31;3;56010112;30;5.46;False;False;False;True;True;31;REDUCE-SCATTER
25;2;71000064;30;3.64;False;False;False;True;True;25;UNKNOWN
20;4;56415232;30;5.69;False;False;False;False;True;1;UNKNOWN
11;4;53773568;30;4.04;False;False;False;False;True;0;UNKNOWN
11;2;78114944;30;4.03;False;False;False;True;True;11;REDUCE-SCATTER
10;3;54374144;30;3.92;False;False;False;False;True;0;UNKNOWN
26;4;76988800;30;5.99;False;False;False;True;True;26;REDUCE-SCATTER
26;2;77417856;30;3.85;False;False;False;True;True;26;UNKNOWN
32;2;68056832;30;5.16;False;False;False;True;True;32;REDUCE-SCATTER
29;2;52872832;30;4.8;False;False;False;True;True;29;REDUCE-SCATTER
32;3;73671552;30;5.51;False;False;False;True;True;32;REDUCE-SCATTER
15;3;58860416;30;5.45;False;False;False;False;True;1;ALLGATHER
19;4;75889024;30;6.68;False;False;False;False;True;1;ALLGATHER
25;3;53540096;30;6.72;False;False;False;False;True;1;REDUCE-SCATTER
12;4;51917184;30;4.0;False;False;False;False;True;0;UNKNOWN
11;2;61045760;30;4.94;False;False;False;False;True;1;REDUCE-SCATTER
24;2;70610432;30;4.99;False;False;False;True;True;24;REDUCE-SCATTER
16;4;70673536;30;5.37;False;False;False;False;True;1;UNKNOWN
5;4;54007168;30;3.28;False;False;False;False;True;0;UNKNOWN
21;2;61511680;30;4.17;False;False;False;True;True;21;REDUCE-SCATTER
5;2;78960896;30;3.46;False;False;False;True;True;5;REDUCE-SCATTER
16;2;53138560;30;3.51;False;False;False;True;True;16;ALLGATHER
18;4;71703040;30;6.03;False;False;False;True;True;2;UNKNOWN
18;2;67848320;30;3.99;False;False;False;True;True;18;REDUCE-SCATTER
19;4;57891712;30;5.85;False;False;False;False;True;1;UNKNOWN
13;3;52383104;30;4.28;False;False;False;False;True;0;UNKNOWN
12;3;61770112;30;4.92;False;False;False;False;True;1;UNKNOWN
11;3;71259776;30;5.41;False;False;False;False;True;1;ALLGATHER
15;4;63974656;30;5.47;False;False;False;False;True;0;UNKNOWN
7;4;70048000;30;4.32;False;False;False;False;True;0;UNKNOWN
16;4;52547456;30;4.0;False;False;False;False;True;0;UNKNOWN
13;3;76831488;30;6.46;False;False;False;False;True;1;REDUCE-SCATTER
8;4;50592128;30;2.77;False;False;False;False;True;0;UNKNOWN
23;3;55825408;30;6.31;False;False;False;False;True;1;REDUCE-SCATTER
10;4;78218496;30;5.42;False;False;False;False;True;1;UNKNOWN
27;4;62077568;30;8.94;False;False;False;False;True;1;REDUCE-SCATTER
14;2;53536512;30;4.33;False;False;False;False;True;1;ALLGATHER
6;3;58072704;30;3.81;False;False;False;False;True;0;UNKNOWN
14;3;64352256;30;5.53;False;False;False;False;True;1;ALLGATHER
31;2;75975936;30;4.57;False;False;False;True;True;31;UNKNOWN
24;2;57873792;30;4.23;False;False;False;True;True;24;REDUCE-SCATTER
26;4;70828416;30;5.62;False;False;False;True;True;26;REDUCE-SCATTER
32;2;79724672;30;6.17;False;False;False;True;True;32;REDUCE-SCATTER
21;4;50471808;30;5.01;False;False;False;False;True;0;UNKNOWN
